,movieId,title,genres,tmdbId,overview,popularity,original_title,vote_average,vote_count,tagline,budget,reviews,Crew_Cast,keywords
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",34.34,Toy Story,7.9,12639,,30000000,"This movie came out when I was three. Now I'm twenty seven and the goddamn thing still holds up.

_Final rating:★★★★ - Very strong appeal. A personal favourite._,Decided to revisit this after many years and still holds up so well. Great movie for both kids and adults with wonderful teachable moments. Just a groundbreaking animated movie all around. **4.5/5**,A stunning feature film entrance from Pixar! <em>'Toy Story'</em> is a true delight, from the first second to the last.

The CGI animation is excellent. All the toys look brilliant, as does the world itself - I love the feel of it. The music is very good, Randy Newman does a nice job - ""You've Got a Friend in Me"" is a cracker.

Tom Hanks leads a strong cast. Hanks plays Woody, to fantastic effect. He is the best part of this film. Tim Allen is great, too, as Buzz Lightyear. Don Rickles (Mr. Potato Head), Wallace Shawn (Rex) and John Ratzenberger (Hamm) also bring fun.

Everything else is just as terrific: the humour, the pacing, the plot - I enjoy it all. There are probably some flaws in parts, namely Buzz's supposed unawareness, but nothing impacts the viewing experience. Go watch!","John_Lasseter,Tom_Hanks,Tim_Allen,Don_Rickles,Jim_Varney,Wallace_Shawn,John_Ratzenberger,Annie_Potts,John_Morris,Erik_von_Detten,Laurie_Metcalf,R._Lee_Ermey,Sarah_Freeman,Penn_Jillette,Jack_Angel,Spencer_Aste,Greg_Berg,Lisa_Bradley,Kendall_Cunningham,Debi_Derryberry,Cody_Dorkin,Bill_Farmer,Craig_Good,Gregory_Grudt,Danielle_Judovits,Sam_Lasseter,Brittany_Levenbrown,Sherry_Lynn,Scott_McAfee,Mickie_McGowan,Ryan_O'Donohue,Jeff_Pidgeon,Patrick_Pinney,Phil_Proctor,Jan_Rabson,Joe_Ranft,Andrew_Stanton,Shane_Sweet,Nathan_Lane,John_Lasseter,Ernie_Sabella","martial_arts,jealousy,toy,friendship,bullying,elementary_school,friends,rivalry,rescue,mission,walkie_talkie,boy_next_door,new_toy,neighborhood,toy_comes_to_life,resourcefulness"
1,2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",6.331,Jumanji,7.2,7389,Roll the dice and unleash the excitement!,65000000,"Throw the dice and take a turn, Jumanji made the critics gurn.

Jumanji is directed by Joe Johnston and based on Chris Van Allsburg's short story of the same name. It stars Robin Williams, Bonnie Hunt, Kirsten Dunst, Bradley Pierce and Jonathan Hyde. The story is about a weird board game that when played unleashes hazards from the jungle with every throw of the dice. Once you have started playing you have to finish the game for normality to be resumed.

Simple in plot and coming off as an excuse to show off some impressive effects -said the critics - Jumanji defied the critics of the time to become a box office winner and a family favourite. Enough of a favourite to spawn a sequel (Zathura 2005), an animated TV series and a board game. In truth the film is reliant on the effects to entertain, with the cast (all competent and enjoyable) merely lurching from one perilous throw of the dice to another. But to call the film shallow is wrong and ignorant. There's flecks of bad parenting, peer pressure, grief and bullying, while the impact of a missing child on one town is a noteworthy addition to the story line. You wonder if those critics actually paid attention during their free viewings?

Yes it's berserker family fun, but it's not without worth in the writing either. Besides which, for the action set pieces and the laughs, they alone mean the film has its merits. 7/10","Joe_Johnston,Robin_Williams,Jonathan_Hyde,Kirsten_Dunst,Bradley_Pierce,Bonnie_Hunt,Bebe_Neuwirth,David_Alan_Grier,Patricia_Clarkson,Adam_Hann-Byrd,Laura_Bell_Bundy,James_Handy,Gillian_Barber,Brandon_Obray,Cyrus_Thiedeke,Gary_Joseph_Thorup,Leonard_Zola,Lloyd_Berry,Malcolm_Stewart,Annabel_Kershaw,Darryl_Henriques,Robyn_Driscoll,Peter_Bryant,Sarah_Gilson,Florica_Vlad,June_Lion,Brenda_Lockmuller,Frederick_Richardson,Jaysen_Clough,Daniel_Olsen,Falko_Schilling,David_Szehi,Tom_Woodruff_Jr.","giant_insect,board_game,jungle,disappearance,recluse,stampede,based_on_young_adult_novel"
2,3,Grumpier Old Men (1995),Comedy|Romance,15602.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",8.984,Grumpier Old Men,6.6,203,Still Yelling. Still Fighting. Still Ready for Love.,0,,"Howard_Deutch,Walter_Matthau,Jack_Lemmon,Ann-Margret,Sophia_Loren,Daryl_Hannah,Burgess_Meredith,Kevin_Pollak,Michelle_Johnston","fishing,old_man,best_friend,duringcreditsstinger"
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",6.496,Waiting to Exhale,6.2,75,Friends are the people who let you be yourself... and never let you forget it.,16000000,,"Forest_Whitaker,Whitney_Houston,Angela_Bassett,Loretta_Devine,Lela_Rochon,Gregory_Hines,Dennis_Haysbert,Michael_Beach,Mykelti_Williamson,Lamont_Johnson,Wesley_Snipes,Wendell_Pierce,Donald_Faison,Brandon_Hammond,Kenya_Moore,Starletta_DuPois,Delaina_Mitchell,Wren_T._Brown,Jazz_Raycole,Jeffrey_D._Sams,Leon,Giancarlo_Esposito,Kelly_Preston,L._Scott_Caldwell,Hope_Brown,Graham_Galloway,Donyell_Hinton,Wanda-Lee_Evans,Wally_Bujack,Shari_L._Carpenter","based_on_novel_or_book,interracial_relationship,single_mother,divorce,chick_flick"
4,5,Father of the Bride Part II (1995),Comedy,11862.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",11.618,Father of the Bride Part II,6.2,416,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,0,,"Charles_Shyer,Steve_Martin,Diane_Keaton,Martin_Short,Kimberly_Williams-Paisley,George_Newbern,Kieran_Culkin,BD_Wong,Peter_Michael_Goetz,Kate_McGregor-Stewart,Jane_Adams,Eugene_Levy,Lori_Alan,Casey_Boersma,Dylan_Boersma","parent_child_relationship,baby,midlife_crisis,confidence,pregnancy,aging,daughter,contraception,gynecologist"
5,6,Heat (1995),Action|Crime|Thriller,949.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",25.479,Heat,7.9,4136,A Los Angeles Crime Saga,60000000,"You don't live with me, you live among the remains of dead people.

Heat is written and directed by Michael Mann. It stars Robert DeNiro, Al Pacino, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Ashley Judd, Amy Brennerman and Danny Trejo. Music is scored by Elliot Goldenthal and cinematography by Dante Spinoti.

Big time thief Neil McCauley (DeNiro) is after one last major score before he retires, but hot on his tail is Vincent Hannah (Pacino), a cop equally and methodically as driven as he is himself.

In the build up to Heat's release, much was made of it being the first on screen pairing of DeNiro and Pacino. A mouthwatering prospect for sure, it proved to be worth the wait and unfolds as a lesson in restrained acting with two modern greats affording each other the respect that was due. What we didn't realise in the build up to the film's release, was that it would prove to be one of the greatest cops and robbers movies of all time, brought to us by an auteur director whose kink for realism and commitment to research stands him out from much of the modern directing pack.

Rarely does a film come together as one, where all the cogs of the engine are in tune, but Heat is one such picture. From cast performances to visual aesthetics, to screenplay and actual substance of story, Heat is as meticulous as it is thrilling. There are a myriad of characters brilliantly stitched together in one de-glamorised City of Angels, as plot develops, and each character and their crumbling relationships come under inspection, we are witnessing a coarse viewpoint of human nature, where people's lives are ended or defined by their choices. Everywhere you look, here, there are folk cracking under the strain of being exposed to high end crime, dreams, hopes and happiness are unlikely to be achieved, and this is on both sides of the law.

For Heat, Mann fuses the tonal and visual ticks of Manhunter with that of the adrenalin rushes from Last of the Mohicans, with the former gorgeously born out by Spinoti's pin sharp photography, the latter thrillingly realised by Mann's skill at action set pieces. Once again word of mouth about the key heist and shoot out in the film led to high expectation, and again there is no disappointment. L.A. becomes a battle ground, rapid gunfire punctures the air, cars swerve and crash, bodies fall, visually and aurally it drags you to the edge of your seat, an extended action sequence fit to sit with the best of them. The kicker as well is that because Mann has been so detailed in his characterisations, we care about what happens to all parties, we understand motives and means. Which in a film with such a huge support cast is quite an achievement.

There is enough in Heat to fill out a dozen other cops and robbers films, fans of neo-noir and crime films in general are spoilt supreme here. It's not rocket science really, put a group of great actors together, give them an intelligent script to work from and let them be guided by a director who will not sit still, and you get a great film. Heat, the ultimate predator and prey movie, where from beginning to end it refuses to be lazy or cop out, and energy and thought seeps from every frame. 10/10,Partly I'm disappointed in myself for taking so long to watch _Heat_ because it's such a massive influence on one of the best movies ever (_The Dark Knight_), and one my favourite video games ever (_Payday: The Heist_).

Mostly though, I'm disappointed in myself for taking so long to watch _Heat_ because I've denied myself for so long the privilege of having seen such a great fucking crime movie.

_Final rating:★★★★ - An all round good movie with a little something extra._","Michael_Mann,Al_Pacino,Robert_De_Niro,Val_Kilmer,Jon_Voight,Tom_Sizemore,Diane_Venora,Amy_Brenneman,Ashley_Judd,Mykelti_Williamson,Natalie_Portman,Ted_Levine,Tom_Noonan,Tone_Loc,Hank_Azaria,Wes_Studi,Dennis_Haysbert,Danny_Trejo,Henry_Rollins,William_Fichtner,Kevin_Gage,Susan_Traylor,Jerry_Trimble,Ricky_Harris,Jeremy_Piven,Xander_Berkeley,Begonya_Plaza,Rick_Avery,Hazelle_Goodman,Ray_Buktenica,Max_Daniels,Vince_Deadrick_Jr.,Steven_Ford,Farrah_Forke,Patricia_Healy,Paul_Herman,Cindy_Katz,Brian_Libby,Dan_Martin,Mario_Roberts,Thomas_Rosales_Jr.,Yvonne_Zima,Mick_Gould,Bud_Cort,Viviane_Vives,Kim_Staunton,Martin_Ferrero,Brad_Baldridge,Andrew_Camuccio,Kenny_Endoso,Kimberly_Flynn,Niki_Haris,Bill_McIntosh,Rick_Marzan,Terry_Miller,Daniel_O'Haco,Kai_Soremekun,Peter_Blackwell,Trevor_Coppola,Mary_Kircher,Darin_Mangan,Robert_Miranda,Manny_Perry,Iva_Franks_Singer,Tim_Werner,Philip_Ettington,Rainell_Saunders,Brian_Camuccio,Amanda_Graves,Emily_Graves,Thomas_Elfmont,Ted_Harvey,Wendy_L._Walsh,Rey_Verdugo,Phillip_Robinson,Jimmy_Star","robbery,detective,obsession,chase,thief,honor,murder,heist,betrayal,gang,los_angeles,_california,cat_and_mouse,bank_robbery,criminal_mastermind,cult_film,ex-con,one_last_job,loner,bank_job,neo-noir,crime_epic"
6,7,Sabrina (1995),Comedy|Romance,11860.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",9.405,Sabrina,6.1,355,You are cordially invited to the most surprising merger of the year.,58000000,,"Sydney_Pollack,Harrison_Ford,Julia_Ormond,Greg_Kinnear,Angie_Dickinson,Nancy_Marchand,John_Wood,Richard_Crenna,Lauren_Holly,Dana_Ivey,Fanny_Ardant,Patrick_Bruel,Paul_Giamatti,Miriam_Colón,Elizabeth_Franz,Valérie_Lemercier,Becky_Ann_Baker,John_C._Vennema,Margo_Martindale,J._Smith-Cameron,Christine_Luneau-Lipton,Michael_Dees,Denis_Holmes,Jo-Jo_Lowe,Ira_Wheeler,Philippa_Cooper,Ayako_Kawahara,François_Genty,Guillaume_Gallienne,Inés_Sastre,Phina_Oruche,Andrea_Behalikova,Jennifer_Herrera,Kristina_Kumlin,Eva_Linderholm,Carmen_Chaplin,Micheline_Van_de_Velde,Joanna_Rhodes,Alan_Boone,Patrick_Forster-Delmas,Kentaro_Matsuo,Peter_McKernan,Ed_Connelly,Ronald_L._Schwary,Alvin_Lum,Siching_Song,Phil_Nee,Randy_Becker,Susan_Browning,Anthony_Mondal,Peter_Parks,Woodrow_Asai,Eric_Bruno_Borgman,Michael_Cline,Christopher_Del_Gaudio,Philippe_Hartmann,Jerry_Quinn,Dori_Rosenthal","paris,_france,sibling_relationship,chauffeur,long_island,fusion,millionaire"
7,8,Tom and Huck (1995),Adventure|Children,45325.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",10.532,Tom and Huck,5.3,103,The Original Bad Boys.,0,,"Peter_Hewitt,Jonathan_Taylor_Thomas,Brad_Renfro,Rachael_Leigh_Cook,Michael_McShane,Amy_Wright,Eric_Schweig,Tamara_Mello,Ike_Eisenmann,Charles_Rocket,Marian_Seldes,Lanny_Flaherty,Courtland_Mead,Peter_MacKenzie,Heath_Lamberts,Adam_Crosby",
8,9,Sudden Death (1995),Action,9091.0,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,11.55,Sudden Death,5.7,374,Terror goes into overtime.,35000000,,"Peter_Hyams,Jean-Claude_Van_Damme,Powers_Boothe,Raymond_J._Barry,Whittni_Wright,Ross_Malinger,Dorian_Harewood,Kate_McNeil,Michael_Gaston,Audra_Lindley,Brian_Delate,Steve_Aronson,Michael_R._Aubele,Karen_Elise_Baldwin,Jennifer_D._Bowser,Pat_Brisson,Glenda_Morgan_Brown,Jophery_C._Brown,William_Cameron,Bernard_Canepari,Jay_Caufield,Alan_Clement,Bill_Clement,Bill_Dalzell,Gilbert_B._Combs,Jack_Erdie,Ed_Evanko,David_Flick,Glenn_Alan_Gardner,John_Hall,Jeff_Habberstad,Mark_Hager,John_Hateley,Rosine_'Ace'_Hatem,Jeff_Hochendoner,Jeff_Howell,Brian_Hutchison,Jeff_Jimerson,Mark_Kachowski,Callum_Keith-King,Rick_Le_Fevour,Tommy_Lafitte,Raymond_Laine,Mike_Lange,Butch_Luick,Fred_Mancuso,Anthony_Marino,Larry_John_Meyers,Ken_Milchick,Faith_Minton,Paul_Mochnick,Brad_Moniz,Jean-Pierre_Nutini,Daniel_R._Pagath,Manny_Perry,Allan_Pinsker,Douglas_Rees,Diane_Robin,Luc_Robitaille,Thomas_Saccio,Vinnie_Sciullo,Jack_Skelly,Brian_Smrz,Phil_Spano,Paul_Steigerwald,John_Sterling,Harold_Surratt,Rohn_Thomas,Milton_E._Thompson_Jr.,Dixie_Tymitz,Fred_Waugh,Rema_Webb,Dean_E._Wells","terrorist,hostage,explosive,ice_hockey,vice_president,pittsburgh,_pennsylvania,pittsburgh_penguins"
9,10,GoldenEye (1995),Action|Adventure|Thriller,710.0,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from an awesome space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Trevelyan's stunning ally, Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",27.425,GoldenEye,6.8,2440,No limits. No fears. No substitutes.,58000000,"Really solid entry into the series with Brosnan, who is personally my favorite Bond, is great. The plot is on the thin side but is helped having Sean Bean as the sinister villain and of course Famke Janssen makes for an amazingly sexy psychopath with, ahem, incredible thighs. **4.0/5**","Martin_Campbell,Pierce_Brosnan,Sean_Bean,Izabella_Scorupco,Famke_Janssen,Joe_Don_Baker,Judi_Dench,Gottfried_John,Robbie_Coltrane,Alan_Cumming,Tchéky_Karyo,Desmond_Llewelyn,Samantha_Bond,Michael_Kitchen,Serena_Gordon,Simon_Kunz,Billy_J._Mitchell,Constantine_Gregory,Minnie_Driver,Michelle_Arthur,Ravil_Isyanov,Trevor_Byfield,Mark_Chapman,Michelle_Eldridge,Kate_Gayson,Simone_Bechtel,Juliet_Forester","cuba,falsely_accused,secret_identity,computer_virus,secret_base,secret_intelligence_service,kgb,satellite,special_car,cossack,electromagnetic_pulse,time_bomb,st._petersburg,_russia,red_army"
