,original_title,doc
0,Toy Story,"Led by Woody  Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene  Afraid of losing his place in Andy's heart  Woody plots against Buzz  But when circumstances separate Buzz and Woody from their owner  the duo eventually learns to put aside their differences  Adventure Animation Children Comedy Fantasymartial_arts,jealousy,toy,friendship,bullying,elementary_school,friends,rivalry,rescue,mission,walkie_talkie,boy_next_door,new_toy,neighborhood,toy_comes_to_life,resourcefulnessJohn_Lasseter,Tom_Hanks,Tim_Allen,Don_Rickles,Jim_Varney,Wallace_Shawn,John_Ratzenberger,Annie_Potts,John_Morris,Erik_von_Detten,Laurie_Metcalf,R._Lee_Ermey,Sarah_Freeman,Penn_Jillette,Jack_Angel,Spencer_Aste,Greg_Berg,Lisa_Bradley,Kendall_Cunningham,Debi_Derryberry,Cody_Dorkin,Bill_Farmer,Craig_Good,Gregory_Grudt,Danielle_Judovits,Sam_Lasseter,Brittany_Levenbrown,Sherry_Lynn,Scott_McAfee,Mickie_McGowan,Ryan_O'Donohue,Jeff_Pidgeon,Patrick_Pinney,Phil_Proctor,Jan_Rabson,Joe_Ranft,Andrew_Stanton,Shane_Sweet,Nathan_Lane,John_Lasseter,Ernie_Sabella"
1,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world  they unwittingly invite Alan    an adult who's been trapped inside the game for   years    into their living room  Alan's only hope for freedom is to finish the game  which proves risky as all three find themselves running from giant rhinoceroses  evil monkeys and other terrifying creatures Roll the dice and unleash the excitement Adventure Children Fantasygiant_insect,board_game,jungle,disappearance,recluse,stampede,based_on_young_adult_novelJoe_Johnston,Robin_Williams,Jonathan_Hyde,Kirsten_Dunst,Bradley_Pierce,Bonnie_Hunt,Bebe_Neuwirth,David_Alan_Grier,Patricia_Clarkson,Adam_Hann-Byrd,Laura_Bell_Bundy,James_Handy,Gillian_Barber,Brandon_Obray,Cyrus_Thiedeke,Gary_Joseph_Thorup,Leonard_Zola,Lloyd_Berry,Malcolm_Stewart,Annabel_Kershaw,Darryl_Henriques,Robyn_Driscoll,Peter_Bryant,Sarah_Gilson,Florica_Vlad,June_Lion,Brenda_Lockmuller,Frederick_Richardson,Jaysen_Clough,Daniel_Olsen,Falko_Schilling,David_Szehi,Tom_Woodruff_Jr."
2,Grumpier Old Men,"A family wedding reignites the ancient feud between next door neighbors and fishing buddies John and Max  Meanwhile  a sultry Italian divorcée opens a restaurant at the local bait shop  alarming the locals who worry she'll scare the fish away  But she's less interested in seafood than she is in cooking up a hot time with Max Still Yelling  Still Fighting  Still Ready for Love Comedy Romancefishing,old_man,best_friend,duringcreditsstingerHoward_Deutch,Walter_Matthau,Jack_Lemmon,Ann-Margret,Sophia_Loren,Daryl_Hannah,Burgess_Meredith,Kevin_Pollak,Michelle_Johnston"
3,Waiting to Exhale,"Cheated on  mistreated and stepped on  the women are holding their breath  waiting for the elusive ""good man"" to break a string of less than stellar lovers  Friends and confidants Vannah  Bernie  Glo and Robin talk it all out  determined to find a better way to breathe Friends are the people who let you be yourself    and never let you forget it Comedy Drama Romancebased_on_novel_or_book,interracial_relationship,single_mother,divorce,chick_flickForest_Whitaker,Whitney_Houston,Angela_Bassett,Loretta_Devine,Lela_Rochon,Gregory_Hines,Dennis_Haysbert,Michael_Beach,Mykelti_Williamson,Lamont_Johnson,Wesley_Snipes,Wendell_Pierce,Donald_Faison,Brandon_Hammond,Kenya_Moore,Starletta_DuPois,Delaina_Mitchell,Wren_T._Brown,Jazz_Raycole,Jeffrey_D._Sams,Leon,Giancarlo_Esposito,Kelly_Preston,L._Scott_Caldwell,Hope_Brown,Graham_Galloway,Donyell_Hinton,Wanda-Lee_Evans,Wally_Bujack,Shari_L._Carpenter"
4,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding  he receives the news that she's pregnant     and that George's wife  Nina  is expecting too  He was planning on selling their home  but that's a plan that    like George    will have to change with the arrival of both a grandchild and a kid of his own Just When His World Is Back To Normal    He's In For The Surprise Of His Life Comedyparent_child_relationship,baby,midlife_crisis,confidence,pregnancy,aging,daughter,contraception,gynecologistCharles_Shyer,Steve_Martin,Diane_Keaton,Martin_Short,Kimberly_Williams-Paisley,George_Newbern,Kieran_Culkin,BD_Wong,Peter_Michael_Goetz,Kate_McGregor-Stewart,Jane_Adams,Eugene_Levy,Lori_Alan,Casey_Boersma,Dylan_Boersma"
5,Heat,"Obsessive master thief  Neil McCauley leads a top notch crew on various daring heists throughout Los Angeles while determined detective  Vincent Hanna pursues him without rest  Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat and mouse game may end in violence A Los Angeles Crime SagaAction Crime Thrillerrobbery,detective,obsession,chase,thief,honor,murder,heist,betrayal,gang,los_angeles,_california,cat_and_mouse,bank_robbery,criminal_mastermind,cult_film,ex-con,one_last_job,loner,bank_job,neo-noir,crime_epicMichael_Mann,Al_Pacino,Robert_De_Niro,Val_Kilmer,Jon_Voight,Tom_Sizemore,Diane_Venora,Amy_Brenneman,Ashley_Judd,Mykelti_Williamson,Natalie_Portman,Ted_Levine,Tom_Noonan,Tone_Loc,Hank_Azaria,Wes_Studi,Dennis_Haysbert,Danny_Trejo,Henry_Rollins,William_Fichtner,Kevin_Gage,Susan_Traylor,Jerry_Trimble,Ricky_Harris,Jeremy_Piven,Xander_Berkeley,Begonya_Plaza,Rick_Avery,Hazelle_Goodman,Ray_Buktenica,Max_Daniels,Vince_Deadrick_Jr.,Steven_Ford,Farrah_Forke,Patricia_Healy,Paul_Herman,Cindy_Katz,Brian_Libby,Dan_Martin,Mario_Roberts,Thomas_Rosales_Jr.,Yvonne_Zima,Mick_Gould,Bud_Cort,Viviane_Vives,Kim_Staunton,Martin_Ferrero,Brad_Baldridge,Andrew_Camuccio,Kenny_Endoso,Kimberly_Flynn,Niki_Haris,Bill_McIntosh,Rick_Marzan,Terry_Miller,Daniel_O'Haco,Kai_Soremekun,Peter_Blackwell,Trevor_Coppola,Mary_Kircher,Darin_Mangan,Robert_Miranda,Manny_Perry,Iva_Franks_Singer,Tim_Werner,Philip_Ettington,Rainell_Saunders,Brian_Camuccio,Amanda_Graves,Emily_Graves,Thomas_Elfmont,Ted_Harvey,Wendy_L._Walsh,Rey_Verdugo,Phillip_Robinson,Jimmy_Star"
6,Sabrina,"An ugly duckling having undergone a remarkable change  still harbors feelings for her crush  a carefree playboy  but not before his business focused brother has something to say about it You are cordially invited to the most surprising merger of the year Comedy Romanceparis,_france,sibling_relationship,chauffeur,long_island,fusion,millionaireSydney_Pollack,Harrison_Ford,Julia_Ormond,Greg_Kinnear,Angie_Dickinson,Nancy_Marchand,John_Wood,Richard_Crenna,Lauren_Holly,Dana_Ivey,Fanny_Ardant,Patrick_Bruel,Paul_Giamatti,Miriam_Colón,Elizabeth_Franz,Valérie_Lemercier,Becky_Ann_Baker,John_C._Vennema,Margo_Martindale,J._Smith-Cameron,Christine_Luneau-Lipton,Michael_Dees,Denis_Holmes,Jo-Jo_Lowe,Ira_Wheeler,Philippa_Cooper,Ayako_Kawahara,François_Genty,Guillaume_Gallienne,Inés_Sastre,Phina_Oruche,Andrea_Behalikova,Jennifer_Herrera,Kristina_Kumlin,Eva_Linderholm,Carmen_Chaplin,Micheline_Van_de_Velde,Joanna_Rhodes,Alan_Boone,Patrick_Forster-Delmas,Kentaro_Matsuo,Peter_McKernan,Ed_Connelly,Ronald_L._Schwary,Alvin_Lum,Siching_Song,Phil_Nee,Randy_Becker,Susan_Browning,Anthony_Mondal,Peter_Parks,Woodrow_Asai,Eric_Bruno_Borgman,Michael_Cline,Christopher_Del_Gaudio,Philippe_Hartmann,Jerry_Quinn,Dori_Rosenthal"
7,Tom and Huck,"A mischievous young boy  Tom Sawyer  witnesses a murder by the deadly Injun Joe  Tom becomes friends with Huckleberry Finn  a boy with no future and no family  Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder  Tom and Huck go through several adventures trying to retrieve evidence The Original Bad Boys Adventure Children Peter_Hewitt,Jonathan_Taylor_Thomas,Brad_Renfro,Rachael_Leigh_Cook,Michael_McShane,Amy_Wright,Eric_Schweig,Tamara_Mello,Ike_Eisenmann,Charles_Rocket,Marian_Seldes,Lanny_Flaherty,Courtland_Mead,Peter_MacKenzie,Heath_Lamberts,Adam_Crosby"
8,Sudden Death,"When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer Terror goes into overtime Actionterrorist,hostage,explosive,ice_hockey,vice_president,pittsburgh,_pennsylvania,pittsburgh_penguinsPeter_Hyams,Jean-Claude_Van_Damme,Powers_Boothe,Raymond_J._Barry,Whittni_Wright,Ross_Malinger,Dorian_Harewood,Kate_McNeil,Michael_Gaston,Audra_Lindley,Brian_Delate,Steve_Aronson,Michael_R._Aubele,Karen_Elise_Baldwin,Jennifer_D._Bowser,Pat_Brisson,Glenda_Morgan_Brown,Jophery_C._Brown,William_Cameron,Bernard_Canepari,Jay_Caufield,Alan_Clement,Bill_Clement,Bill_Dalzell,Gilbert_B._Combs,Jack_Erdie,Ed_Evanko,David_Flick,Glenn_Alan_Gardner,John_Hall,Jeff_Habberstad,Mark_Hager,John_Hateley,Rosine_'Ace'_Hatem,Jeff_Hochendoner,Jeff_Howell,Brian_Hutchison,Jeff_Jimerson,Mark_Kachowski,Callum_Keith-King,Rick_Le_Fevour,Tommy_Lafitte,Raymond_Laine,Mike_Lange,Butch_Luick,Fred_Mancuso,Anthony_Marino,Larry_John_Meyers,Ken_Milchick,Faith_Minton,Paul_Mochnick,Brad_Moniz,Jean-Pierre_Nutini,Daniel_R._Pagath,Manny_Perry,Allan_Pinsker,Douglas_Rees,Diane_Robin,Luc_Robitaille,Thomas_Saccio,Vinnie_Sciullo,Jack_Skelly,Brian_Smrz,Phil_Spano,Paul_Steigerwald,John_Sterling,Harold_Surratt,Rohn_Thomas,Milton_E._Thompson_Jr.,Dixie_Tymitz,Fred_Waugh,Rema_Webb,Dean_E._Wells"
9,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan  AKA Agent    a former ally turned enemy  only James Bond can save the world from an awesome space weapon that    in one short pulse    could destroy the earth  As Bond squares off against his former compatriot  he also battles Trevelyan's stunning ally  Xenia Onatopp  an assassin who uses pleasure as her ultimate weapon No limits  No fears  No substitutes Action Adventure Thrillercuba,falsely_accused,secret_identity,computer_virus,secret_base,secret_intelligence_service,kgb,satellite,special_car,cossack,electromagnetic_pulse,time_bomb,st._petersburg,_russia,red_armyMartin_Campbell,Pierce_Brosnan,Sean_Bean,Izabella_Scorupco,Famke_Janssen,Joe_Don_Baker,Judi_Dench,Gottfried_John,Robbie_Coltrane,Alan_Cumming,Tchéky_Karyo,Desmond_Llewelyn,Samantha_Bond,Michael_Kitchen,Serena_Gordon,Simon_Kunz,Billy_J._Mitchell,Constantine_Gregory,Minnie_Driver,Michelle_Arthur,Ravil_Isyanov,Trevor_Byfield,Mark_Chapman,Michelle_Eldridge,Kate_Gayson,Simone_Bechtel,Juliet_Forester"
